Question,Type,Options,Answer
"Which of the following languages are you fluent in?","checklist","English | Indonesian | Mandarin | Japanese | French | German | Korean | Malaysian | Other (language not listed)",""
"Which of the following programming languages are you experienced in?","checklist",".NET | C | C# | C++ | CSS | HTML | Java | JavaScript | Objective-C | PHP | Python | Ruby | Swift | Visual Basic | None of these",""
"Sistem Relational Database Management (RDBMS) apa saja yang bisa kamu gunakan?","checklist","PostgreSQL | Oracle | DB2 | SQLite | Microsoft SQL | MySQL | Informix | Teradata | Sybase | Tidak satupun",""
"Which of the following Relational Database Management Systems (RDBMS) are you experienced with?","checklist","PostgreSQL | Oracle | DB2 | SQLite | Microsoft SQL | MySQL | Informix | Teradata | Sybase | None of these",""
"Which of the following front end development libraries and frameworks are you proficient in?","checklist","Backbone.js | Angular.js | D3.js | LESS | React.js | Bootstrap | Durandal | CanJS | jQuery | Ext JS | Node.js | SASS | Ember.js | Knockout | None of these",""
"How many years' experience do you have as a Wordpress Developer?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Alat analisis web apa saja di bawah ini yang bisa kamu gunakan?","checklist","Omniture | Google Analytics | Chartbeat | SAS Web Analytics | Tableau | Marin | Coremetrics | Piwik | Crazy Egg | Webtrends | Unica | Tidak satupun",""
"Metode periklanan online apa saja di bawah ini yang bisa kamu gunakan?","checklist","Pay per click | Iklan media sosial | Google AdWords | Iklan display | Iklan banner | Tidak satupun",""
"Alat analisis data apa saja di bawah ini yang bisa kamu gunakan?","checklist","SAS | Statistica | Tableau | SPSS | RapidMiner | KNIME | Mathematica | R | SciPy | Excel | Matlab | Hadoop | SPSS Modeller (Clementine) | SQL | Tidak satupun",""
"How many years' experience do you have as a Golang Backend Engineer?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Generative AI Engineer?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Computer Vision Engineer?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Which of the following revision control tools do you have experience using?","checklist","IBM ClearCase | Apache Subversion (SVN) | TFS | GIT | Mercurial | CVS | Perforce | AccuRev | None of these",""
"Software akuntansi apa saja di bawah ini yang bisa kamu gunakan?","checklist","Keysoft ERP | Accurate | Zahir | MYOB | Microsoft Dynamics | SAP Business One | Quickbooks | Oracle | Quicken | Sleekr | SQL | Tidak satupun",""
"Berapa tahun pengalaman kerjamu sebagai pengembang php?","dropdown"," | Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun",""
"Bagaimana kamu menilai kemampuan bahasa Inggrismu?","checklist","Berbicara dengan mahir dalam situasi profesional | Menulis dengan mahir dalam situasi profesional | Kemahiran terbatas",""
"Which of the following back end development libraries and frameworks are you proficient in?","checklist","CodeIgniter | Yii | Joomla | CakePHP | Zend | Django | Ruby on Rails | Struts 2 | Symfony | Apache | SciPy | Play | NumPy | Grails | None of these",""
"Which of the following Microsoft Office products are you experienced with?","checklist","Publisher | Outlook | PowerPoint | OneNote | Access | Word | Excel | None of these",""
"How many years' experience do you have as a Java Software Engineer?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have in the financial services industry?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Web Engineer?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Which of the following content management systems (CMS) do you have experience with?","checklist","Squiz | WordPress | Sitefinity | EpiServer | Umbraco | Matrix | Adobe CQ5 | Joomla | Drupal | FatWire | Sitecore | Vignette | Magento | SharePoint | None of these",""
"How would you rate your English language skills?","checklist","Speaks proficiently in a professional setting | Writes proficiently in a professional setting | Limited proficiency",""
"How many years' experience do you have as a .Net SQL Developer?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Are you available to travel for this role when required?","checklist","Yes, domestic travel | Yes, international travel | No",""
"How many years' experience do you have as a Python Developer?","dropdown"," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
